MANDY MYSTERY CATSUIT;€19,90;;"Black catsuit finished in a soft patterned lace fabric with plunging neckline.  Open crotch. Full foot.
100% polyamide.
";S/M| M/L ;Queen Size;http://s23.postimg.org/ujr9a75nf/MANDY_MYSTERY_CATSUIT_19_90.jpg
MANDY MYSTERY LINGERIE NET CATSUIT;€14,90;;Here, nothing is left to imagination. Provocatively crotchless and with great lateral peepholes. Narrow straps. With foot part. 100% polyamide. ;L/XL;Queen Size;http://s23.postimg.org/3pr5opqhn/MANDY_MYSTERY_LINGERIE_NET_CATSUIT_14_90.jpg
MAXI DRESS WITH LACE BACK AND FISHTAIL;€35,90;€29,90;Made from a stretch poly fabric, this Maxi Dress with Lace Back and Fishtail is comfortable and very friendly to your skin. The ankle-length design makes you become tall and elegant once slip in. Really a wonderful option to every sexy occasion such as soiree, evening party and big events etc. Material : 100% Polyester;XXL ;Queen Size;http://s23.postimg.org/69msite1n/MAXI_DRESS_WITH_LACE_BACK_AND_FISHTAIL_35_90.jpg
MESH PANTY;€9,90;;"A low-rise mesh thong.  Mesh panty with ruffle hem, back keyhole, contrast merrow edge, and satin bows. 
Material: acrylic + lace
Color: white
";XXXL ;Queen Size;http://s23.postimg.org/6oy2btzyz/MESH_PANTY_9_90.jpg
MODERN AND COMFY RUBBER CORSET;€49,90;;A modern version of the corsets of the nobility with the emphasis on comfort, this constructed waist nipper slims and trims to the max for a smooth look through your middle. Color: black Material: Polyester +Spandex;XS| M| L | XXL| XXXL;Queen Size;http://s23.postimg.org/i3z4u71p7/MODERN_AND_COMFY_RUBBER_CORSET_49_90.jpg
MUST MAXI-KLEIT, XXL;€34,90;;" Black Maxi Dress, XXL. Material : polyester+spandex

V-neck

Sleeveless

Color: black";XXL ;Queen Size;http://s23.postimg.org/82pp74z8b/MUST_MAXI_KLEIT_XXL_34_90.jpg
NAVY MINI DRESS, XXL;€34,90;;"Navy mini dress, XXL. Material : Polyester+Spandex

Color: navy blue
";XXL ;Queen Size;http://s23.postimg.org/pijv8ty6z/NAVY_MINI_DRESS_XXL_34_90.jpg
NETTY MESH OVERLAY MINI DRESS, XXL;€34,90;;"Netty Mesh Overlay Mini Dress, XXL. Material : 95%Polyester + 5%Spandex

Color: black

Size: XXL

O-neck

Short sleeves";XXL ;Queen Size;http://s23.postimg.org/75nvc0d3v/NETTY_MESH_OVERLAY_MINI_DRESS_XXL_34_90.jpg
PERFECT TUBE DRESS (XL/XXL);€45,90;;PERFECT TUBE DRESS . Color: black;XL/XXL;Queen Size;http://s23.postimg.org/vnfyzwfob/PERFECT_TUBE_DRESS_XL_XXL_45_90.jpg
PINK BABYDOLL WITH BOW TIE;€19,90;;Get the show started in this sheer stretch lace and mesh babydoll with front bow tie detail and included g string.  Material: lace;XXXL ;Queen Size;http://s23.postimg.org/jdwy98vh7/PINK_BABYDOLL_WITH_BOW_TIE_19_90.jpg
PINK EROTIC FOREPLAY LACE TEDDY, PLUS SIZE;€16,90;;Pink Erotic Foreplay Lace Teddy, plus size . Material: Polyester + Spandex;XXL ;Queen Size;http://s23.postimg.org/nvz91cbiz/PINK_EROTIC_FOREPLAY_LACE_TEDDY_PLUS_SIZE_16_90.jpg
